goos: linux
goarch: amd64
pkg: golang.org/x/crypto/chacha20poly1305
cpu: Intel(R) Core(TM) i9-14900K
BenchmarkChacha20Poly1305/Open-64-16         	 1705419	       205.6 ns/op	 311.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-16         	 1736169	       206.5 ns/op	 310.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-16         	 1733293	       204.7 ns/op	 312.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-16         	 1739248	       206.9 ns/op	 309.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-16         	 1743604	       203.3 ns/op	 314.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-16         	 1764862	       203.7 ns/op	 314.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-16         	 1764988	       205.5 ns/op	 311.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-16         	 1764500	       204.6 ns/op	 312.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-16         	 1719171	       202.7 ns/op	 315.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-16         	 1733403	       201.6 ns/op	 317.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-64-16         	 1713976	       202.7 ns/op	 315.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-64-16         	 1776351	       202.7 ns/op	 315.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-64-16         	 1698538	       216.8 ns/op	 295.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-64-16         	 1731621	       205.6 ns/op	 311.33 MB/s	       0 B/op	       0 allocs/op
