goos: linux
goarch: amd64
pkg: golang.org/x/crypto/chacha20poly1305
cpu: Intel(R) Core(TM) i9-14900K
BenchmarkChacha20Poly1305/Open-64-16         	 3446593	       105.4 ns/op	 607.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-16         	 3506822	       102.2 ns/op	 626.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-16         	 3521176	       102.9 ns/op	 621.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-16         	 3465451	       101.9 ns/op	 628.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-16         	 3494534	       102.4 ns/op	 625.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-16         	 3464498	       103.7 ns/op	 617.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-16         	 3493827	       101.7 ns/op	 629.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-16         	 3447850	       102.2 ns/op	 626.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-16         	 3543267	       101.7 ns/op	 629.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-16         	 3543405	       101.6 ns/op	 630.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-64-16         	 3548713	       101.1 ns/op	 633.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-64-16         	 3559850	       100.9 ns/op	 633.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-64-16         	 3527354	       102.1 ns/op	 626.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-64-16         	 3518970	       102.6 ns/op	 623.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-64-16         	 3560101	       103.8 ns/op	 616.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-64-16         	 3553378	       102.5 ns/op	 624.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-64-16         	 3552644	       101.0 ns/op	 633.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-64-16         	 3563431	       101.1 ns/op	 632.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-64-16         	 3562126	       101.1 ns/op	 632.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-64-16         	 3561160	       101.1 ns/op	 632.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-X-16       	 2207937	       163.2 ns/op	 392.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-X-16       	 2211482	       163.1 ns/op	 392.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-X-16       	 2218740	       163.1 ns/op	 392.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-X-16       	 2241186	       162.5 ns/op	 393.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-X-16       	 2210089	       161.7 ns/op	 395.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-X-16       	 2209164	       163.1 ns/op	 392.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-X-16       	 2220877	       160.8 ns/op	 397.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-X-16       	 2228022	       162.6 ns/op	 393.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-X-16       	 2191093	       159.5 ns/op	 401.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-64-X-16       	 2207836	       161.2 ns/op	 397.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-64-X-16       	 2219786	       159.6 ns/op	 401.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-64-X-16       	 2252516	       156.9 ns/op	 407.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-64-X-16       	 2277141	       161.7 ns/op	 395.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-64-X-16       	 2223430	       157.3 ns/op	 406.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-64-X-16       	 2273526	       162.3 ns/op	 394.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-64-X-16       	 2293460	       158.3 ns/op	 404.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-64-X-16       	 2247744	       159.8 ns/op	 400.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-64-X-16       	 2257966	       157.3 ns/op	 406.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-64-X-16       	 2230222	       158.3 ns/op	 404.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-64-X-16       	 2222780	       158.6 ns/op	 403.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-16       	  766210	       470.0 ns/op	2872.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-16       	  728317	       464.4 ns/op	2906.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-16       	  766284	       468.9 ns/op	2879.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-16       	  761266	       471.9 ns/op	2860.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-16       	  766521	       468.7 ns/op	2880.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-16       	  765595	       467.0 ns/op	2890.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-16       	  765327	       473.9 ns/op	2848.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-16       	  767005	       468.5 ns/op	2881.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-16       	  765679	       468.4 ns/op	2881.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-16       	  766093	       472.7 ns/op	2855.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-16       	  718880	       488.5 ns/op	2763.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-16       	  727233	       497.0 ns/op	2716.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-16       	  735123	       496.0 ns/op	2721.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-16       	  735566	       483.3 ns/op	2793.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-16       	  735838	       485.3 ns/op	2782.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-16       	  737158	       488.6 ns/op	2762.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-16       	  735860	       495.0 ns/op	2727.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-16       	  735957	       486.7 ns/op	2774.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-16       	  735213	       497.0 ns/op	2716.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-16       	  735087	       490.4 ns/op	2753.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-X-16     	  679632	       526.9 ns/op	2562.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-X-16     	  678127	       526.8 ns/op	2562.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-X-16     	  678938	       523.2 ns/op	2580.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-X-16     	  678098	       522.5 ns/op	2583.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-X-16     	  677808	       528.3 ns/op	2555.59 MB/s	       0 B/op	       0 allocs/op
